obs,setting,type,staff_case,res_case,deaths ,Date_
133,The Madison Hotel,Single Room Occupancy Housing,0,1,0,2020-12-17
134,The Silver Villa,Homeless Shelter,1,0,0,2020-12-17
135,The T-House,Homeless Shelter,1,1,0,2020-12-17
136,Total Restoration Ministries,Homeless Shelter,2,10,0,2020-12-17
137,Transitional Living Program,Homeless Shelter,0,1,0,2020-12-17
138,Tyrone House,Homeless Shelter,0,1,0,2020-12-17
139,Union Rescue Mission,Homeless Shelter,2,22,0,2020-12-17
140,"Union Rescue Mission, DHS Clinic",Homeless Service Provider,1,0,0,2020-12-17
141,"Union Rescue Mission, Hope Gardens Family Center",Homeless Shelter,0,1,0,2020-12-17
142,Upward Bound House #2,Homeless Shelter,0,2,0,2020-12-17
143,Upward Bound House #5,Homeless Shelter,0,1,0,2020-12-17
144,Upward Bound House #6,Homeless Shelter,0,1,0,2020-12-17
145,Urban Alchemy Care Plus Program - Mobile Showers Hope,Homeless Service Provider,7,0,0,2020-12-17
146,Urban Alchemy Care Plus Program - Mobile Showers Maple,Homeless Service Provider,7,0,0,2020-12-17
147,Urban Alchemy Care Plus Program - Outreach Beacon,Homeless Service Provider,7,0,0,2020-12-17
148,"US Veterans Initiative, Inglewood",Homeless Shelter,1,4,0,2020-12-17
149,Valley Oasis - Family Access Center,Homeless Service Provider,2,0,0,2020-12-17
150,Ward Hotel,Single Room Occupancy Housing,0,1,0,2020-12-17
151,Watts Labor CAC Shelter,Homeless Shelter,0,1,0,2020-12-17
152,Weingart / Gardner Library Bridge Housing,Homeless Shelter,1,0,0,2020-12-17
153,Weingart Center,Homeless Shelter,0,1,0,2020-12-17
154,Weingart Center - AB109,Homeless Shelter,0,1,0,2020-12-17
155,Weingart Center - DHS,Homeless Shelter,0,1,0,2020-12-17
156,Weingart Center - RSAAP,Homeless Shelter,1,0,0,2020-12-17
157,Weingart Center - THP,Homeless Shelter,0,1,0,2020-12-17
158,Weingart Center Cafe,Homeless Service Provider,1,0,0,2020-12-17
159,Weingart Civic Center A Bridge Home,Homeless Shelter,0,2,0,2020-12-17
160,Whittier First Day,Homeless Shelter,1,0,0,2020-12-17
161,Whittier Senior Center,Homeless Shelter,0,1,0,2020-12-17
162,Women's Care Cottage,Homeless Shelter,0,1,0,2020-12-17
163,Zahn Memorial Center,Homeless Shelter,0,2,0,2020-12-17
Total,,,153,336,4,2020-12-17
